cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,battery_id,RUL
0.0,0.5883403952552051,0.6774648005934356,0.2561101749112411,0.2708411017453982,0.41979520684119453,0.5313896491048276,0.9939681149915776,0.9939681149915778,B5,219
0.004016064257028112,0.5567966644223414,0.38483682944366215,0.43623070014303034,0.17990092224361431,0.8271096852610085,0.46874688753599303,0.9940034499784103,0.994003449978411,B5,218
0.008032128514056224,0.5617212320528671,0.744226294597846,0.40857397872893264,0.3381370953734253,0.38834259882321254,0.7180375829475509,0.9924040994751897,0.9924040994751906,B5,217
0.012048192771084336,0.45110553836193157,0.6219814001922526,0.587107931195956,0.5236256601117799,0.34581071548208886,0.45358847464546104,0.9803209845418377,0.9803209845418384,B5,216
0.01606425702811245,0.3523534323965616,0.33228999220672684,0.5235728263179831,0.49019890984612857,0.6624209512721815,0.4882641382759094,0.9848480614990718,0.9848480614990722,B5,215
0.020080321285140562,0.6807532018198308,0.34433649846184977,0.5241415676332148,0.4853288699292331,0.26031917270475313,0.7212921004923278,0.9860042394393982,0.9860042394393984,B5,214
0.02409638554216867,0.5008388152607604,0.5779700731206692,0.4697230118512934,0.37860325128953765,0.5664805462925229,0.5530003384101683,0.977473564389201,0.9774735643892016,B5,213
0.028112449799196783,0.5715132278079755,0.46737791343171153,0.6060691572622261,0.2652766042844581,0.5501384456466043,0.6567485626102583,0.9722122939855853,0.972212293985586,B5,212
0.0321285140562249,0.7643929803959102,0.4658407189757412,0.7048151295586473,0.18668712712024194,0.7012017188963688,0.46260606516384684,0.9708828754056618,0.9708828754056622,B5,211
0.03614457831325301,0.3773801220435773,0.46725997813775244,0.737296835013391,0.3725520446692481,0.7541738068699271,0.5828465646422667,0.9657930616531556,0.9657930616531558,B5,210
0.04016064257028112,0.68989560514032,0.5002017788210793,0.6000613244381245,0.39664391596178206,0.6607861823267407,0.15348642110347344,0.9566432564787013,0.9566432564787017,B5,209
0.04417670682730923,0.6971941480186943,0.523774211150041,0.7302196471273441,0.26251795118051957,0.7835492220381797,0.5012970452348258,0.9614888107327069,0.961488810732708,B5,208
0.048192771084337345,0.46420976127670355,0.40921862297543576,0.2932655576420742,0.21484623041167739,0.9084701615234541,0.5764531641671575,0.955469979395781,0.9554699793957817,B5,207
0.05220883534136545,0.5895416333739216,0.5210345296194259,0.2844676273940929,0.3850391186750377,0.46918921503069355,0.333493657785787,0.951953690856721,0.9519536908567214,B5,206
0.056224899598393566,0.45240639375163183,0.439265377565242,0.6299201591111556,0.5549657357823707,0.7702822752155596,0.7724042396636226,0.9480136448678231,0.9480136448678238,B5,205
0.06024096385542168,0.7347225713621448,0.4478273618201065,0.5377074203345669,0.5022603054864008,0.5830862017934662,0.2532417852605029,0.9424929499401249,0.9424929499401253,B5,204
0.0642570281124498,0.4785438259846029,0.5460139707391836,0.5859482932002504,0.350667394746802,0.7038669636636805,0.4286823140272218,0.9379303627899029,0.9379303627899034,B5,203
0.06827309236947791,0.4365312411952593,0.4658133754223641,0.5451712380160996,0.2708997769130126,0.5788254717690502,0.4146496619828901,0.9340710861881032,0.9340710861881036,B5,202
0.07228915662650602,0.7603251294734394,0.31795208495325333,0.6087547152122381,0.4069539132756472,0.9021988321272367,0.0,0.9305330667894434,0.930533066789444,B5,201
0.07630522088353414,0.5703544660159232,0.5300687523788081,0.669035386056648,0.4226372968545662,0.8216097104866065,0.39817769057395314,0.9243364991918055,0.9243364991918064,B5,200
0.08032128514056225,0.6059580164838918,0.5035313418131242,0.40336513217558556,0.2745206994827303,0.8187565738993121,0.8034987533746993,0.9185496429876847,0.9185496429876852,B5,199
0.08433734939759036,0.43221578413250183,0.49671593327375874,0.4390354524690263,0.30571137391771197,0.9080092455058462,0.5239716097885565,0.9148341106920688,0.914834110692069,B5,198
0.08835341365461848,0.5352787600814224,0.334581619920284,0.5129510221880236,0.4641275101281428,0.5912846650400441,0.5502062948550281,0.9133053559136419,0.9133053559136426,B5,197
